Crisis Pregnancy Center,Street Address,City,State,Zip,Affiliation,Website,Advertises APR?,Facebook,Twitter,Google+,YouTube,Pinterest,Instagram,LinkedIn
PREGNANCY RESOURCE CENTER,514 Tanner Street,Carrollton,GA,30117,Care Net,http://pregnancyrc.com/,,,,,,,,
BARTOW FAMILY RESOURCES - CARTERSVILLE,43 East Lee Street,Cartersville,GA,30120,,http://www.bartowrelationships.com/,,,,,,,,
LIFE MATTERS OUTREACH PREGNANCY CARE CENTER,508 North Main Street,Cedartown,GA,30125,Care Net,http://www.lifemattersoutreach.net/,,,,,,,,
WOMEN'S ENRICHMENT CENTER - CHATSWORTH,101 West Market Street,Chatsworth,GA,30705,,https://www.wecnorthga.org/,,https://www.facebook.com/WECNorthGA/,,,,,https://www.instagram.com/womensenrichmentcenter/,
CLEVELAND CARE CENTER,14 Campbell Street,Cleveland,GA,30528,Care Net,http://www.clevelandcarecenter.com/,,,,,,,,
SOUND CHOICES PREGNANCY CLINIC,1316-B Wynnton Court,Columbus,GA,31906,Care Net,http://soundchoicespc.org/,,,,,,,,
REFUGE PREGNANCY CENTER,1307 Milstead Avenue,Conyers,GA,30012,Care Net,http://refugepregnancycenter.com/,,,,,,,,
HABERSHAM LIFE CRISIS PREGNANCY CENTER,"215 Hodges Street, Suite #101",Cornelia,GA,30531,,http://www.habershamlife.org/,,,,,,,,
NEWTON PREGNANCY RESOURCE CENTER,6142 Gordy Street,Covington,GA,30014,Care Net,http://www.newtonprc.org/,,https://www.facebook.com/newtonprc/,,,,,https://www.instagram.com/newtonprc/,
WHISPERING HOPE WOMEN'S RESOURCE & PREGNANCY CENTER,"133 Samaritan Drive, Suite #306",Cumming,GA,30040,Care Net,http://www.whisperinghope.org/,,,,,,,,
"DAHLONEGA CARE CENTER, INC",353 North Grove Street,Dahlonega,GA,30533,Heartbeat International,http://www.dccga.org/,Yes,,,,,,,
WOMEN'S ENRICHMENT CENTER - DALTON,109 West Gordon Street,Dalton,GA,30720,Care Net,http://www.wecnorthga.org/,,https://www.facebook.com/WECNorthGA/,,,,,https://www.instagram.com/womensenrichmentcenter/,
MADISON COUNTY PREGNANCY CENTER,40 Highway 98 N,Danielsville,GA,30633,,,,,,,,,,
WOMEN'S CLINIC OF ATLANTA - DECATUR,222 East Ponce de Leon,Decatur,GA,30030,Care Net,http://www.womensclinicofatlanta.com/,,,,,,,,
ALPHA PREGNANCY CENTER OF SOUTHWEST GEORGIA,721 West 3rd Street,Donalsonville,GA,39845,Care Net,,,https://www.facebook.com/alphaswga/,,,,,,
PREGNANCY RESOURCES OF DORAVILLE,"5935 New Peachtree Road, Building B",Doraville,GA,30340,Heartbeat International,http://www.prdoraville.org/,Yes,,,,,,,
PRC MEDICAL,330 Chapel Hill Road,Douglasville,GA,30135,Care Net,http://www.abortiondecision.com/,,,https://twitter.com/PRCMedClinic,,,,,
"LIFE RESOURCES OF GEORGIA, INC.",6405 Sugarloaf Parkway,Duluth,GA,30097,,http://www.liferesourcesga.com/,,,,,,,,
TOCCOA LIFE PREGNANCY RESOURCE CENTER,111 Fieldcrest Drive,Eastanollee,GA,30538,,,,https://www.facebook.com/ToccoaLifePRC/,,,,,,
SAFE CHOICE PREGNANCY CARE CENTER,220 Sailors Drive,Ellijay,GA,30540,Care Net,http://safechoicepcc.com/,,,,,,,,
PREGNANT CHOICES,4325 Washington Road,Evans,GA,30809,Heartbeat International,http://www.pregnantchoices.com/,Yes,,,,,,,
FAYETTE PREGNANCY RESOURCE CENTER,360 East Lanier Avenue,Fayetteville,GA,30214,Care Net,http://fayetteprc.com/,,https://www.facebook.com/fayetteprc,https://twitter.com/fayprc,,,,,
CHOICES PREGNANCY CARE CENTER - FLOWERY BRANCH,4591 Winder Highway,Flowery Branch,GA,30542,Care Net,http://www.choicespregnancy.org/,,,,,,,,
PREGNANCY AID CLINIC - SOUTHERN,"531 Forest Parkway, Suite #100",Forest Park,GA,30297,Heartbeat International,http://www.pregnancyaidclinic.com/,Yes,,,,,,,
MONROE COUNTY PREGNANCY CENTER,"13 North Lee Street, Suite #2000",Forsyth,GA,31029,,http://monroecountypregnancycenter.org/,,,,,,,,
CHOICES PREGNANCY CARE CENTER - GAINESVILLE,434 Green Street Place,Gainesville,GA,30501,Heartbeat International,http://www.choicespregnancy.org/,Yes,,,,,,,
FIRST CALL PREGNANCY CENTER,1531 West Broad Street,Greensboro,GA,30642,Care Net,http://www.firstcall.me/,,,,,,,,
THE CARING HOUSE PREGNANCY CENTER,1322 Griffin Road,Griffin,GA,30223,,http://www.gscunitedway.org/caring-house,,,,,,,,
PREGNANCY AID CLINIC MOBILE UNIT - HAPEVILLE,203 Arnold Street,Hapeville,GA,30354,Care Net,http://www.pregnancyaidclinic.com/,,,,,,,,
HART LIFE PREGNANCY CARE CENTER,317 West Franklin Street,Hartwell,GA,30643,,http://www.hartlife.net/,,,,,,,,
PAULDING PREGNANCY SERVICES,"1899 Lake Road, Suite #120",Hiram,GA,30141,Heartbeat International,https://pauldingpregnancy.com/,Yes,,,,,,,
BUTTS COUNTY PREGNANCY RESOURCE CENTER - JACKSON,153 Dempsey Avenue,Jackson,GA,30233,Care Net,https://pregnancyhelpbuttscty.com/,,,,,,,,
LIFE CHOICES PREGNANCY RESOURCE CENTER,307 East 3rd Street,Jackson,GA,30233,,,,,,,,,,
NORTH GEORGIA PREGNANCY CENTER,1549 East Church Street,Jasper,GA,30143,,http://ngapregnancy.org/,,,,,,,,
HOPE RESOURCE CENTER,745 Lee Street,Jefferson,GA,30549,,http://hoperesourcecenter.webs.com/,,,,,,,,
CARE NET PREGNANCY CENTER OF COASTAL GEORGIA - JESUP,212 South 1st Street,Jesup,GA,31545,Care Net,http://www.coastalCare Net.org/,,,,,,,,
WOMEN'S CLINIC OF ATLANTA - JOHN'S CREEK,"2750 Old Alabama Road, Suite #100",John's Creek,GA,30022,Care Net,http://www.womensclinicofatlanta.com/,,,,,,,,
PREGNANCY CARE CENTER OF JONESBORO,158 South Main Street,Jonesboro,GA,30236,Care Net,http://www.pregnancycarecenter.info/,,,,,,,,
COBB PREGNANCY RESOURCE CENTER,3550 Cherokee Street,Kennesaw,GA,30144,,http://www.cobbpregnancyresourcecenter.org/,,,,,,,,
BARTOW FAMILY RESOURCES - KINGSTON,43 East Lee Street,Kingston,GA,30145,,http://www.bartowrelationships.com/,,,,,,,,
FIRST CHOICE WOMEN'S CENTER,300 Harwell Avenue,Lagrange,GA,30240,Care Net,http://lagrangepregnancy.com/,,,,,,,,
PREGNANCY RESOURCE CENTER OF GWINNETT,337 West Pike Street,Lawrenceville,GA,30046,Heartbeat International,http://www.prcg.org/,Yes,,,,,,,
PREGNANCY RESOURCE CENTER OF LEE COUNTY,111 Starksville Avenue S,Leesburg,GA,31763,Care Net,http://www.prcoflc.com/,,,,,,,,
WOMEN'S HEALTH AND WELLNESS CLINIC OF WALTON - LOGANVILLE,3060 Highway 81 S,Loganville,GA,30052,Heartbeat International,http://prcwalton.com/,Yes,,,,,,,
CORE HEALTHCARE FOR WOMEN - MACON,"1044 Washington Avenue, Suite #102",Macon,GA,31201,Care Net,http://coreofcga.com/,,,,,,,,
THE SAINT MAXIMILIAN KOLBE CENTER FOR LIFE,"1157 Forsyth Street, Suite #201",Macon,GA,31201,,http://www.kolbecentermacon.org/,,,,,,,,
COBB PREGNANCY SERVICES,47 Gramling Street,Marietta,GA,30008,,http://cpsfriends.org/,,,,,,,,
FIRST CARE WOMEN'S CLINIC - MARIETTA,615 Roswell Street NE,Marietta,GA,30060,,http://www.cobbpregnancy.org/,,,,,,,,
PREGNANCY AID CLINIC MOBILE UNIT - MARIETTA,621 South Marietta Parkway,Marietta,GA,30144,,http://www.pregnancyaidclinic.com/,,,,,,,,
PREGNANCY RESOURCE CENTER OF HENRY COUNTY,3834 Jodeco Road,McDonough,GA,30253,Heartbeat International,https://www.prchc.org/,Yes,,,,,,,
CROSSROADS PREGNANCY CENTER,451 South Wayne Street,Milledgeville,GA,31061,Heartbeat International,http://www.crossroadspc.net/,Yes,,,,,,,
WOMEN'S HEALTH AND WELLNESS CLINIC OF WALTON - MONROE,700B Breedlove Drive,Monroe,GA,30655,Heartbeat International,http://prcwalton.com/,Yes,,,,,,,
BUTTS COUNTY PREGNANCY RESOURCE CENTER - MONTICELLO,139 West Washington Street,Monticello,GA,31064,,https://pregnancyhelpbuttscty.com/,,,,,,,,
PREGNANCY AID CLINIC MOBILE UNIT - MORROW,6148 Reynolds Road,Morrow,GA,30260,,http://www.pregnancyaidclinic.com/,,,,,,,,
HOPE HOUSE PREGNANCY CARE CENTER,704 5th Avenue SE,Moultrie,GA,31768,,https://hopehousecares.org/,,,,,,,,
COWETA PREGNANCY SERVICES,29 Brown Street,Newnan,GA,30263,Heartbeat International,http://coweta-ps.org/,Yes,,,,,,,
PREGNANCY CARE CENTER OF RICHMOND HILL,"83 Bass Drive, Suite D",Richmond Hill,GA,31324,Care Net,http://www.pregnancycarerh.org/,,https://www.facebook.com/pccrichmondhill/?fref=ts,,,,,https://www.instagram.com/pccrichmondhill/,
PREGNANCY CARE CENTER OF RINCON,"594 South Columbia Avenue, Suite #500",Rincon,GA,31326,Care Net,http://pregnancycarecenterofrincon.com/,,,,,,,,
WOMEN'S ENRICHMENT CENTER - RINGGOLD,102 Remco Shops Lane,Ringgold,GA,30736,,https://www.wecnorthga.org/,,,,,,,,
PREGNANCY CENTER OF ROME,100 Redmond Road NW,Rome,GA,30165,,http://www.cceminc.com/pregnancycenter.html,,,,,,,,
PREGNANCY AID CLINIC - NORTHERN,281 South Atlanta Street,Roswell,GA,30075,Heartbeat International,http://www.pregnancyaidclinic.com/,Yes,,,,,,,
COASTAL PREGNANCY CENTER,4606 Skidaway Road,Savannah,GA,31404,Heartbeat International,,Yes,,,,,,,
SAVANNAH CARE CENTER,105 East 34th Street,Savannah,GA,31401,Care Net,http://savannahcarecenter.org/,,https://www.facebook.com/SavannahCare/,https://twitter.com/savannahcare,,,,,
CHOICES OF THE HEART,425 East Grady Street,Statesboro,GA,30458,,http://www.choicesoftheheart.org/,,https://www.facebook.com/Choices-of-the-Heart-134810413228328/,,,,,https://www.instagram.com/choicesoftheheartstatesboro/,
CARE NET PREGNANCY CENTER OF COASTAL GEORGIA,203 Lakeshore Point,St. Mary's,GA,31558,Care Net,http://coastalCare Net.org/,,,,,,,,
PREGNANCY RESOURCE CENTER OF CHATTOOGA COUNTY,142 Economy Street,Summerville,GA,30747,Care Net,http://www.prcchattooga.org/,,,,,,,,
ALPHA PREGNANCY CENTER OF WORTH COUNTY,408 North Livingston Street,Sylvester,GA,31791,,,,https://www.facebook.com/24alpha,,,,,,
HERITAGE FAMILY RESOURCE CENTER,104 North Green Street,Thomaston,GA,30286,,http://hfrc.weebly.com/index.html,,,,,,,,
FIRST OPTION CARE OF THOMASVILLE,320 North Crawford Street,Thomasville,GA,31792,Care Net,http://www.the-pregnancy-center.com/,,,,,,,,
WOMEN'S FIRST CHOICE MEDICAL CENTER,104 West 8th Street,Tifton,GA,31794,,http://www.firstchoicetift.com/,,https://www.facebook.com/firstchoicetift/,,,,https://www.pinterest.com/login/?next=https%3A%2F%2Fwww.pinterest.com%2Flogin%2F%3Fnext%3Dhttps%253A%252F%252Fwww.pinterest.com%252Flogin%252F%253Fnext%253Dhttps%25253A%25252F%25252Fwww.pinterest.com%25252F%25253Fshow_error%25253Dtrue%2526prev%253Dhttps%25253A%25252F%25252Fwww.pinterest.com%25252F%25253Fshow_error%25253Dtrue%26prev%3Dhttps%253A%252F%252Fwww.pinterest.com%252Flogin%252F%253Fnext%253Dhttps%25253A%25252F%25252Fwww.pinterest.com%25252F%25253Fshow_error%25253Dtrue%2526prev%253Dhttps%25253A%25252F%25252Fwww.pinterest.com%25252F%25253Fshow_error%25253Dtrue&prev=https%3A%2F%2Fwww.pinterest.com%2Flogin%2F%3Fnext%3Dhttps%253A%252F%252Fwww.pinterest.com%252Flogin%252F%253Fnext%253Dhttps%25253A%25252F%25252Fwww.pinterest.com%25252F%25253Fshow_error%25253Dtrue%2526prev%253Dhttps%25253A%25252F%25252Fwww.pinterest.com%25252F%25253Fshow_error%25253Dtrue%26prev%3Dhttps%253A%252F%252Fwww.pinterest.com%252Flogin%252F%253Fnext%253Dhttps%25253A%25252F%25252Fwww.pinterest.com%25252F%25253Fshow_error%25253Dtrue%2526prev%253Dhttps%25253A%25252F%25252Fwww.pinterest.com%25252F%25253Fshow_error%25253Dtrue,https://www.instagram.com/womens1stchoice/,
"ATLANTA PREGNANCY RESOURCE CENTERS, INC.","3983 Lavista Road, Suite #108",Tucker,GA,30084,Care Net,http://atlantapregnancyhelp.com/,,,,,,,,
BIRTHRIGHT OF VALDOSTA,"1205 Baytree Road, Suite #4",Valdosta,GA,31602,Birthright International,http://birthright.org/en/landingpage/lp-valdosta,,,,,,,,
OPTIONS NOW,214 West Park Avenue,Valdosta,GA,31602,Heartbeat International,http://www.optionsnow.org/,Yes,,,,,,,
RACHEL'S HOUSE PREGNANCY CLINIC,1804 Seminole Drive,Vidalia,GA,30474,Heartbeat International,http://rachelshouseprc.org/,Yes,,,,,,,
CORE HEALTHCARE FOR WOMEN - WARNER ROBINS,"109 Osigian Boulevard, Suite #400",Warner Robins,GA,31088,Care Net,http://coreofcga.com/,,,,,,,,
BIRTHRIGHT OF WAYCROSS,1509 Alice Street,Waycross,GA,31501,Birthright International,,,,,,,,,
AUGUSTA CARE PREGNANCY CENTER - WAYNESBORO,250 East 6th Street,Waynesboro,GA,30830,,http://www.augustacpc.org/,,,,,,,,
"THE HOPE CENTER, INC.","295 Molly Lane, Suite #120",Woodstock,GA,30189,Care Net,http://hopectr.com/,,,,,,,,
PREGNANCY PROGRAM CENTER - HONOLULU,"1414 Dillingham Boulevard, Suite #207",Honolulu,HI,96817,Heartbeat International,http://pregnancyunplanned.com/,Yes,,,,,,,
THE PREGNANCY CENTER,"74-5565 Luhia Street, Suite A3B",Kailua Kona,HI,96740,,http://www.tpckona.com/,,https://www.facebook.com/TPCKona,https://twitter.com/KailuaKonaTPC,,,,https://www.instagram.com/thepregnancycenter3010/,
ALOHA PREGNANCY CARE AND COUNSELING CENTER - KANEOHE,45-1151 G Kamehameha Highway,Kaneohe,HI,96744,,http://alohapregnancy.com/,,,,,,,,
RESPECT LIFE OFFICE,6301 Pali Highway,Kaneohe,HI,96744,,http://catholichawaii.org/diocesan-offices/respect-life/,,,,,,,,
PREGNANCY PROBLEM CENTER - OAHU,379-H Kamehameha Highway,Pearl City,HI,96782,Heartbeat International,http://pregnancyunplanned.com/,Yes,,,,,,,
MALAMA PREGNANCY CENTER OF MAUI,64 Central Avenue,Wailuku,HI,96793,Care Net,http://mauipregnancycenter.com/,,https://www.facebook.com/TPCKona,https://twitter.com/KailuaKonaTPC,,,,https://www.instagram.com/thepregnancycenter3010/,
ALOHA PREGNANCY CARE AND COUNSELING CENTER - WAIPAHU,"94-265 Leowahine Street, Suite #205",Waipahu,HI,96797,,http://alohapregnancy.com/,,,,,,,,
A PLACE FOR WOMEN IN WAIPIO,"94-1044 Waipio Uka Street, 2nd Floor",Waipahu,HI,96797,Heartbeat International,http://www.oahupregnancycenter.com/,Yes,,,,,,,
BIRTHRIGHT OF BOISE,"1101 North 28th Street, Suite A",Boise,ID,83702,Birthright International,http://www.birthrightofboise.com/,,,,,,,,
PATH PREGNANCY CLINIC,1414 South Broadway,Boise,ID,83706,Heartbeat International,http://www.pathpreg.org/,Yes,https://www.facebook.com/pathpreg/,,,,,,
STANTON HEALTHCARE - BOISE,3684 North Harbor Lane,Boise,ID,83703,,http://www.stantonhealthcare.org/,,,,,,,,
A BLESSED BEGINNING PREGNANCY CARE,6514 Main Street,Bonners Ferry,ID,83805,,http://www.blessedbeginning.org/,,,,,,,,
LIFELINE PREGNANCY CARE CENTER - CALDWELL,"524 Cleveland Boulevard, Suite #110",Caldwell,ID,83605,Care Net,http://www.lifelinepcc.org/,,,,,,,,
BIRTHRIGHT OF COEUR D'ALENE,923 East Sherman Avenue,Coeur D'Alene,ID,83814,Birthright International,http://birthright.org/en/landingpage/lp-coeurdalene,,,,,,,,
"OPEN ARMS PREGNANCY CARE CENTER AND REAL CHOICES CLINIC, INC.","1800 Lincoln Way, Suite #201",Coeur D'Alene,ID,83814,Heartbeat International,http://realchoicesclinic.com/,Yes,https://www.facebook.com/openarmsPCC,https://twitter.com/openarmspcc,,,,,
HOPE CENTER - GRANGEVILLE,212 S B St,Grangeville,ID,83530,Heartbeat International,http://www.hopecentergrangeville.org/,Yes,,,,,,,
BIRTHRIGHT OF IDAHO FALLS,"1970 East 17th Street, Suite 111-D",Idaho Falls,ID,83404,Birthright International,http://birthright.org/en/landingpage/lp-idahofalls,,,,,,,,
THE SHEPHERD'S INN,437 Parkway Circle,Idaho Falls,ID,83405,,http://www.shepherdsinn.org/,,,,,,,,
HOPE CENTER - KAMIAH,404 Hill Street,Kamiah,ID,83536,Heartbeat International,http://www.hopecentergrangeville.org/contactus/kamiahidaho.html,Yes,,,,,,,
HOPE PREGNANCY RESOURCE CENTER,404 W Cameron Ave,Kellogg,ID,83837,Heartbeat International,,Yes,https://www.facebook.com/HopeCenterKellogg/,,,,,,
REAL CHOICES MOBILE CLINIC - KELLOGG,(Mobile),Kellogg,ID,,Heartbeat International,http://realchoicesclinic.com/,Yes,,,,,,,
LIFE CHOICES CLINIC,2020 12th Avenue,Lewiston,ID,83501,Heartbeat International,http://lifechoicesclinic.info/,Yes,,,,,,,
WISH MEDICAL,1515 West A Street,Moscow,ID,83843,Care Net,http://www.wishmedical.com/,,https://www.facebook.com/wishmedical,https://twitter.com/wishmedical,,,,,
LIFELINE PREGNANCY CARE CENTER - NAMPA,1323 12th Avenue S,Nampa,ID,83651,Care Net,http://www.lifelinepcc.org/,,https://www.facebook.com/lifelinepregnancycenter,,,,,,
COMPASSION AND HOPE PREGNANCY CENTER,"845 South 9th Street, Suite B",Pocatello,ID,83209,Care Net,http://www.pocatellopregnancycenter.com/,,,,,,,,
REAL CHOICES MOBILE CLINIC - RATHDRUM,(Mobile),Rathdrum,ID,,Heartbeat International,http://realchoicesclinic.com/,Yes,https://www.facebook.com/openarmsPCC,https://twitter.com/openarmspcc,,,,,
BIRTHRIGHT OF RUPERT,630 5th Street,Rupert,ID,83350,Birthright International,http://birthright.org/en/landingpage/lp-rupert,,,,,,,,
HOPE'S PLACE PREGNANCY SUPPORT CENTER,704 Shoup Street,Salmon,ID,83467,,http://www.hopesplacepsc.org/,,,,,,,,
LIFE CHOICES PREGNANCY CENTER,502 North 2nd Avenue,Sandpoint,ID,83864,Care Net,https://lifechoicespc.org/,,,,,,,,
STANTON HEALTHCARE - MAGIC VALLEY,718 Shoshone Street E,Twin Falls,ID,83303,Care Net,http://pregnancytf.org/,,,,,,,,
REAL CHOICES MOBILE CLINIC - WALLACE,(Mobile),Wallace,ID,,Heartbeat International,http://realchoicesclinic.com/,Yes,,,,,,,
THE HOPE CENTER,23 West Cherry Street,Albion,IL,62806,,http://echopecenter.webs.com/,,,,,,,,
PREGNANCY INFORMATION CENTER - AURORA,411 West Galena Boulevard,Aurora,IL,60504,Heartbeat Interational,http://www.rupregnant.com/,Yes,,,,,,,
"WATERLEAF WOMEN'S CENTER, INC. - CLINIC",3598 East New York Street,Aurora,IL,60504,,http://www.waterleafwc.org/,,,,,,,,
MOSAIC PREGNANCY & HEALTH CENTERS - BELLEVILLE,115 Lincoln Place Court,Belleville,IL,62221,Care Net,http://revealmosaic.com/,,https://www.facebook.com/revealmosaic,https://twitter.com/revealmosaic,,,,,
PREGNANCY CARE CENTER OF BELLEVILLE,"301 West Lincoln Street, Suite #52",Belleville,IL,62220,,,,https://www.facebook.com/Pregnancy-Care-Center-of-Belleville-159761917377819/,,,,,,
BIRTHRIGHT OF BLOOMINGTON,"505 North Center Street, Suite #1",Bloomington,IL,61701,Birthright International,http://birthright.org/en/landingpage/lp-bloomington,,,,,,,,
"WATERLEAF WOMEN'S CENTER, INC. - EDUCATION & RESOURCE CENTER",682 West Boughton Road,Bolingbrook,IL,60440,Heartbeat International,http://www.waterleafwc.org/,Yes,,,,,,,
RIVER VALLEY PREGNANCY RESOURCE CENTER,200 North Washington Avenue,Bradley,IL,60915,Heartbeat International,http://www.rivervalleyprc.org/,Yes,,,,,,,
SPOON RIVER PREGNANCY RESOURCE CENTER,127 North Main Street,Canton,IL,61520,Care Net,http://www.spoonriverpregnancycenter.com/,,,,,,,,
PREGNANCY MATTERS - JACKSON COUNTY,241 South Lewis Lane,Carbondale,IL,62902,,http://www.pregnancymatters.org/index.html,,,,,,,,
TRI-STATE FAMILY SERVICES,603 Walnut Street,Carthage,IL,62321,,http://www.tristatefamilyservices.org/,,,,,,,,
CHOICES PREGNANCY & HEALTH - CASEY,407 Northwest 3rd Street,Casey,IL,62420,Heartbeat International,http://www.choices4pregnancy.com/,Yes,,,,,,,
PREGNANCY CARE CLINIC - CENTRALIA,319 East 7th Street,Centralia,IL,62801,Heartbeat International,http://www.pregnancycc.com/,Yes,,,,,,,
BIRTHRIGHT OF CHAMPAIGN,201 West Springfield Avenue,Champaign,IL,61820,Birthright International,http://birthright.org/en/landingpage/lp-champaign,,,,,,,,
LIVING ALTERNATIVES PREGNANCY RESOURCE CENTER - CHAMPAIGN,205 East Wilber Avenue,Champaign,IL,61824,Heartbeat International,http://hopeforafuture.com/,Yes,,,,,,,
CHOICES PREGNANCY & HEALTH - CHARLESTON,260 West Locust Avenue,Charleston,IL,61920,Heartbeat International,http://choices4pregnancy.com/,Yes,,,,,,,
"AID FOR WOMEN, INC. - BACK OF THE YARDS CENTER",5013 South Hermitage Avenue,Chicago,IL,60609,Heartbeat International,http://www.helpaidforwomen.org/,Yes,https://www.facebook.com/FriendsOfAidForWomen,https://twitter.com/AidforWomen,,https://www.youtube.com/user/AidforWomenChicago,,https://www.instagram.com/aidforwomenchicago/,
"AID FOR WOMEN, INC. - DOWNTOWN CENTER",8 South Michigan Avenue,Chicago,IL,60603,Heartbeat International,http://www.helpaidforwomen.org/,Yes,https://www.facebook.com/FriendsOfAidForWomen,https://twitter.com/AidforWomen,,https://www.youtube.com/user/AidforWomenChicago,,https://www.instagram.com/aidforwomenchicago/,
"AID FOR WOMEN, INC. - MONICA'S HOUSE",3954 North Meade Avenue,Chicago,IL,60634,Heartbeat International,http://www.helpaidforwomen.org/,Yes,https://www.facebook.com/FriendsOfAidForWomen,https://twitter.com/AidforWomen,,https://www.youtube.com/user/AidforWomenChicago,,https://www.instagram.com/aidforwomenchicago/,
"AID FOR WOMEN, INC. - WICKER PARK CENTER",1510 North Claremont Avenue,Chicago,IL,60622,Heartbeat International,http://www.helpaidforwomen.org/,Yes,https://www.facebook.com/FriendsOfAidForWomen,https://twitter.com/AidforWomen,,https://www.youtube.com/user/AidforWomenChicago,,https://www.instagram.com/aidforwomenchicago/,
CARIS - CHICAGO LOOP,"111 North Wabash Avenue, Suite #1501",Chicago,IL,60602,,http://www.caris.org/,,https://www.facebook.com/carisorg,https://twitter.com/carisorg,,,,https://www.instagram.com/carisorg/,
LAWNDALE CHRISTIAN HEALTH CENTER - BREAKTHROUGH,3219 West Carroll Avenue,Chicago,IL,60624,,http://www.lawndale.org/,,,,,,,,
LAWNDALE CHRISTIAN HEALTH CENTER - OGDEN,3812 West Ogden Avenue,Chicago,IL,60623,,http://www.lawndale.org/,,,,,,,,
THE WOMEN'S CENTER - NORTH,5116 North Cicero Avenue,Chicago,IL,60630,Heartbeat International,http://abortionchoices.com/,Yes,,,,,,,
PASS PREGNANCY CARE CENTER - CHICAGO HEIGHTS,"30 East 15th Street, Suite #201",Chicago Heights,IL,60411,,https://passnetworkforlife.org/,,,,,,,,
"AID FOR WOMEN, INC. - CICERO CENTER",1400 South Austin Boulevard,Cicero,IL,60804,Heartbeat International,http://www.helpaidforwomen.org/,Yes,https://www.facebook.com/FriendsOfAidForWomen,https://twitter.com/AidforWomen,,https://www.youtube.com/user/AidforWomenChicago,,https://www.instagram.com/aidforwomenchicago/,
LIVING ALTERNATIVES PREGNANCY RESOURCE CENTER - GRUNDY/SOUTH WILL COUNTY,695 South Broadway Street,Coal City,IL,60416,Heartbeat International,http://hopeforafuture.com/,Yes,,,,,,,
ABL PREGNANCY CENTER,2105 Vandalia Street,Collinsville,IL,62234,,,,,,,,,,
INFORMED CHOICES PREGNANCY & PARENTING - CRYSTAL LAKE,610-1 Crystal Point Drive,Crystal Lake,IL,60014,Heartbeat International,http://www.informedchoices.org/,Yes,,,,,,,
WOMEN'S CARE CLINIC,200 West Williams Street,Danville,IL,61832,Care Net,http://danvillewcc.org/,,https://www.facebook.com/danvillewcc/,https://twitter.com/WCC_Danville,,,,,
NEW LIFE PREGNANCY CENTER,1698 East Pershing Road,Decatur,IL,62526,Care Net,http://www.newlifepregnancycenter.com/,,,,,,,,
WE CARE PREGNANCY CENTER,403 North 5th Street,Dekalb,IL,60115,Care Net,http://wecarepregnancyclinic.org/,,,,,,,,
"AID FOR WOMEN, INC. - DES PLAINES CENTER",1150 North River Road,Des Plaines,IL,60016,Heartbeat International,http://www.helpaidforwomen.org/,Yes,https://www.facebook.com/FriendsOfAidForWomen,https://twitter.com/AidforWomen,,https://www.youtube.com/user/AidforWomenChicago,,https://www.instagram.com/aidforwomenchicago/,
"AID FOR WOMEN, INC. - HEATHER'S HOUSE",1150 North River Road,Des Plaines,IL,60016,Heartbeat International,http://www.helpaidforwomen.org/,Yes,https://www.facebook.com/FriendsOfAidForWomen,https://twitter.com/AidforWomen,,https://www.youtube.com/user/AidforWomenChicago,,https://www.instagram.com/aidforwomenchicago/,
THE WOMEN'S CENTER - NORTHWEST,"2720 South River Road, Suite #234",Des Plaines,IL,60016,Heartbeat International,http://abortionchoices.com/,Yes,,,,,,,
Care Net PREGNANCY SERVICES OF DUPAGE - DOWNERS GROVE,"515 Ogden Avenue, Suite #200",Downers Grove,IL,60515,Care Net,http://CareNetdupage.com/,,,,,,,,
FAMILY LIFE CENTER,605 Eden Avenue,Effingham,IL,62401,Heartbeat International,http://familylifepcc.org/,Yes,,,,,,,
LIFE CHOICES - ELGIN,"825 Dundee Avenue, Suite D",Elgin,IL,60120,Care Net,http://www.thinkimpregnant.com/services,,,,,,,,
Care Net PREGNANCY SERVICES OF DUPAGE - ELMHURST,"210 North York Street, Suite #103",Elmhurst,IL,60126,Care Net,http://CareNetdupage.com/,,,,,,,,
THE WOMEN'S CENTER - SOUTH,9730 South Western Avenue,Evergreen Park,IL,60805,Heartbeat International,http://abortionchoices.com/,Yes,,,,,,,
COMPASSION PREGNANCY CENTER,2705 Andrews Drive,Fairfield,IL,62837,Heartbeat International,http://www.compassionpregnancy.com/,Yes,,,,,,,
LIVING ALTERNATIVES PREGNANCY RESOURCE CENTER - FRANKFORT,"1746 East Wabash Street, Suite B",Frankfort,IL,46041,Heartbeat International,http://hopeforafuture.com/,Yes,,,,,,,
FREEPORT PREGNANCY CENTER,"222 West Exchange Street, Suite #111",Freeport,IL,61032,Care Net,http://www.freeportpregnancycenter.org/,,,,,,,,
WOMEN'S PREGNANCY CENTER,1252 W Fremont Street,Galesburg,IL,61401,Heartbeat International,http://womenspregnancycenterofgalesburg.org/,Yes,,,,,,,
CARE NET PREGNANCY SERVICES OF DUPAGE - GLEN ELLYN,"1200 Roosevelt Road, Suite #101",Glen Ellyn,IL,60137,Care Net,http://Care Netdupage.com/,,,,,,,,
OPTIONS NOW,4854 N Alby,Godfrey,IL,62035,Heartbeat International,http://www.options-now.com/,Yes,,,,,,,
BETHANY CHRISTIAN SERVICES - GRANITE CITY,2421 Corporate Center #100,Granite City,IL,62040,Heartbeat International,https://www.bethany.org/southern-illinois,Yes,,,,,,,
